sample,total_sequencing_size,total_reads,strategy,assembly,assembly_num_seqs,assembly_sum_len,assembly_min_len,assembly_avg_len,assembly_max_len,msp_count,gene_count,N50,L50,NA50,auNA,LA50,(N50-NA50)/N50,(L50-LA50)/L50
SAMEA2467035,10000000900,2275082,LR,LR (metaflye),4184,155211689,1020,37096.5,1719488,297,654602,68220,442,64923,207183.4,462,0.0483289357959542,-0.0452488687782805
SAMEA2467035,10000000200,66666668,SR,SR (megahit),79140,419566978,1000,5301.6,1501857,297,654602,16932,3374,12646,50176.5,5246,0.2531301677297425,-0.5548310610551275
SAMEA2467041,10000003059,34471907,Hybrid,Hybrid (hybridspades),23123,262180469,1000,11338.5,3118391,179,440663,74052,582,39334,117214.5,1268,0.4688327121482201,-1.178694158075601
SAMEA2467041,10000003132,2276698,LR,LR (metaflye),2785,129399281,1147,46462.9,1556614,179,440663,92669,292,88842,207416.6,313,0.0412975212854352,-0.071917808219178
SAMEA2467041,10000000200,66666668,SR,SR (megahit),37719,277850100,1000,7366.3,1280094,179,440663,42596,1130,25532,63793.1,2057,0.400600995398629,-0.820353982300885
SAMEA2467043,10000001445,34471564,Hybrid,Hybrid (hybridspades),16819,222199339,1000,13211.2,3076404,116,337887,97668,316,42885,136126.8,918,0.5609104312569112,-1.90506329113924
SAMEA2467043,10000001453,2276873,LR,LR (metaflye),2254,118710383,1028,52666.5,1436629,116,337887,94481,252,91327,205567.0,268,0.0333823731755591,-0.0634920634920634
SAMEA2467043,10000000200,66666668,SR,SR (megahit),28949,230045932,1000,7946.6,1180427,116,337887,51300,787,30877,73576.7,1450,0.3981091617933723,-0.8424396442185514
SAMEA2467046,10000007269,34471215,Hybrid,Hybrid (hybridspades),30153,288792607,1000,9577.6,2223669,260,541767,52376,667,30364,131893.5,1578,0.4202688254162212,-1.365817091454273
SAMEA2467046,10000003666,2274744,LR,LR (metaflye),2899,130492140,1044,45012.8,1666798,260,541767,80408,313,78135,250953.2,319,0.0282683315093025,-0.0191693290734824
SAMEA2467046,10000000200,66666668,SR,SR (megahit),49036,311238371,1000,6347.1,1115889,260,541767,36432,1358,22707,67186.2,2317,0.3767292490118577,-0.7061855670103093
SAMEA2467050,10000004710,34472440,Hybrid,Hybrid (hybridspades),29787,290801008,1000,9762.7,2493755,223,530548,43107,874,27640,141639.0,1682,0.3588048344816387,-0.9244851258581236
SAMEA2467050,10000000361,2276925,LR,LR (metaflye),2847,128447264,1018,45116.7,1620860,223,530548,82433,261,78894,245307.1,276,0.0429318355512962,-0.057471264367816
SAMEA2467050,10000000200,66666668,SR,SR (megahit),49916,304984880,1000,6110.0,1092346,223,530548,32166,1458,21041,68896.4,2396,0.3458620904060188,-0.6433470507544582
SAMEA2467053,10000005208,34471391,Hybrid,Hybrid (hybridspades),23012,198638317,1000,8631.9,2416889,159,358625,32984,763,24490,111405.7,1408,0.2575187969924812,-0.8453473132372215
SAMEA2467053,10000012147,2277202,LR,LR (metaflye),1782,90394053,1003,50726.2,1661294,159,358625,92011,201,89658,237155.3,213,0.0255730293117127,-0.0597014925373134
SAMEA2467053,10000000200,66666668,SR,SR (megahit),37908,215184302,1000,5676.5,1492810,159,358625,22929,1382,17087,57438.5,2077,0.2547865148938026,-0.5028943560057887
SAMEA2467056,10000006289,34471606,Hybrid,Hybrid (hybridspades),19342,259030772,1000,13392.1,2450592,139,431622,71083,622,43935,153505.2,1118,0.3819197276423336,-0.797427652733119
SAMEA2467056,10000008027,2277452,LR,LR (metaflye),2480,127281887,1137,51323.3,1668408,139,431622,97269,262,92541,242971.8,283,0.04860747000586,-0.0801526717557251
SAMEA2467056,10000000200,66666668,SR,SR (megahit),32633,269970462,1000,8272.9,1366014,139,431622,54776,1005,36338,77522.0,1554,0.3366072732583613,-0.5462686567164179
SAMEA2467057,10000000225,34471827,Hybrid,Hybrid (hybridspades),25179,231439632,1000,9191.8,1829706,142,398208,30312,1176,21683,62896.3,2199,0.2846727368698865,-0.8698979591836735
SAMEA2467057,10000000546,2276717,LR,LR (metaflye),2735,102604615,1159,37515.4,1270744,142,398208,56024,416,53747,126015.6,431,0.0406432957304012,-0.0360576923076923
SAMEA2467057,10000000200,66666668,SR,SR (megahit),34037,250343701,1000,7355.0,1756225,142,398208,27043,1763,19522,40833.9,2806,0.2781126354324594,-0.5916052183777651
SAMEA2467058,10000001539,34472789,Hybrid,Hybrid (hybridspades),21741,227790297,1000,10477.5,2762597,150,408765,54146,515,32879,198278.3,957,0.3927713958556495,-0.858252427184466
SAMEA2467058,10000000177,2278114,LR,LR (metaflye),2077,112244461,1200,54041.6,1592809,150,408765,109403,195,96976,262752.0,216,0.1135892068773251,-0.1076923076923077
